time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (unitless/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
7474.59773869592,32714.768483519354,0.19665683382497398,1345432.487937094,7927.88027326286,0.0,-4370.184471501386,0.7200000000000001,0.0,67601.83780276353,5.632451031059052,0.6936870836587846,7969.286982747222,215.74763702220866
8504.531359866043,32917.31196850857,0.19665683382497398,1567538.7452005432,7865.233873747665,0.0,-4331.132464191847,0.7200000000000002,-4.36665889724742e-20,67037.25770995702,5.602002832578129,0.6947267943509159,7906.3315764677845,215.55443277847962
9925.62954465559,33196.78063808369,0.19665683382497398,1873673.1669492465,7779.638417015094,0.0,-4277.624940742649,0.72,-6.54998834587113e-20,66266.54214518177,5.557409296198178,0.6962637063557295,7820.313983881935,215.28757184951039
10375.402261304082,33285.23151648064,0.19665683382497398,1970484.631298159,7752.749114146085,0.0,-4260.779227576035,0.7200000000000001,-4.36665889724742e-20,66024.60487603521,5.542665295846433,0.6967753318657232,7793.292093996965,215.20304382561088
10375.402261304082,33285.23151648064,0.19665683382497398,1970484.631298159,7752.749114146085,0.0,-4260.779227576035,0.7200000000000001,-4.36665889724742e-20,66024.60487603521,5.542665295846433,0.6967753318657232,7793.292093996965,215.20304382561088
11241.692700781046,33455.59345148103,0.19665683382497434,2156842.413763653,7701.230432927851,0.0,-4228.453094151664,0.7200000000000001,-4.9124912594033475e-20,65561.30322456565,5.513401640267952,0.697795705694269,7741.519415124437,215.04014594527848
12436.996694879814,33690.658150418836,0.19665683382497542,2413746.32168934,7630.732182307138,0.0,-4184.106933339122,0.72,-2.18332944862371e-20,64927.81692945971,5.471126531836923,0.6992809571586018,7670.673656866031,214.81518167649787
12815.306322181328,33765.05532392946,0.19665683382498114,2494999.4935998996,7608.561428999072,0.0,-4170.133310210309,0.7199999999999999,8.73331779449484e-20,64728.7095491655,5.457282148397973,0.6997701532193046,7648.393630472408,214.74393321216584
12815.306322181328,33765.05532392946,0.19665683382498114,2494999.4935998996,7608.561428999072,0.0,-4170.133310210309,0.7199999999999999,8.73331779449484e-20,64728.7095491655,5.457282148397973,0.6997701532193046,7648.393630472408,214.74393321216584
13239.483537914057,33848.47267215615,0.19665683382497828,2586072.025832541,7583.783589574933,0.0,-4154.500625025956,0.72,-8.73331779449484e-20,64506.2528932494,5.441490763386306,0.7003298023518922,7623.493675203178,214.6640188151451
13824.761519831005,33963.57158698741,0.19665683382497542,2711677.865364519,7549.7357062847395,0.0,-4132.991494157929,0.72,0.0,64200.677806820226,5.419232429817011,0.701121599370288,7589.278000049003,214.55370543704706
14010.0,34000.0,0.19665683382498114,2751418.2314486452,7538.993590947665,0.0,-4126.198565126783,0.72,1.746663558898968e-19,64104.29449301218,5.412073605377601,0.7013769888238155,7578.482948719583,214.5187800652524
14010.0,34000.0,-7.364343597957757,2751418.2314486452,7538.993590947665,0.0,-3256.5311686446676,0.72,-7.91392147840234e-05,64104.29449301218,5.412073605377601,0.5440176658316775,5720.406992631856,214.5187800652524
14199.730498612878,32602.759417202917,-7.364343597957751,2791817.411850447,7532.180683063614,0.0,-3257.9819609234078,0.7049848773191956,-7.91392147840234e-05,64026.42933933064,6.444111825213147,0.5117887138393854,5691.5660329839175,211.35290812525812
14461.519862156185,30674.85259377933,-7.364343597957763,2846561.4405196756,7533.106074348927,0.0,-3261.344781775083,0.684267072649569,-7.913921478402351e-05,63918.913990982444,7.8155072087822655,0.4736022279123744,5660.339751732644,206.8806790554273
